id,sku,category,description,formattedPrice,image,priceType,price,status,url,attributeValues,uomLabel,source
1036515,56LM03,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"ABILITY ONE Paper Towel Sheets: Brown, 9 1/4 in Sheet Wd, 9 3/8 in Sheet Lg, 250 Sheets, 16 PK",$52.35,https://static.grainger.com/rp/s/is/image/Grainger/56LM03_AW01,REGULAR,52.35,Sellable,https://www.grainger.com/product/ABILITY-ONE-Paper-Towel-Sheets-Brown-56LM03,"Brown, 9-1/4 in, 9-3/8 in, 250, 1, No Series, ABILITY ONE",pkg. of 16,gcom
1036514,38C403,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GRAINGER Paper Towel Sheets: Brown, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, 16 PK",$49.10,https://static.grainger.com/rp/s/is/image/Grainger/38C403_AS01__U8BS_v2,REGULAR,49.1,Sellable,https://www.grainger.com/product/GRAINGER-Paper-Towel-Sheets-Brown-38C403,"Brown, 9-1/4 in, 9-1/2 in, 250, 1, GRAINGER, GRAINGER",pkg. of 16,gcom
1046077,2U229,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: Brown, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 16 PK",$62.56,https://static.grainger.com/rp/s/is/image/Grainger/2U229_AW01,REGULAR,62.56,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-Brown-2U229,"Brown, 9-1/4 in, 9-1/2 in, 250, 1, Pacific Blue Basic™, GEORGIA-PACIFIC",pkg. of 16,gcom
1047650,38TL03,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"OPS Paper Towel Sheets: White, 4 in Sheet Wd, 8 1/2 in Sheet Lg, 250 Sheets, 1 Ply, OPS®, 32 PK",$126.48,https://static.grainger.com/rp/s/is/image/Grainger/38TL03_1260-01G__JMGC_v2,REGULAR,126.48,Sellable,https://www.grainger.com/product/OPS-Paper-Towel-Sheets-White-38TL03,"White, 4 in, 8-1/2 in, 250, 1, OPS®, OPS",pkg. of 32,gcom
1039052,42EP31,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 7 1/2 in Sheet Wd, 11 1/2 in Sheet Lg, 24 PK",$59.11,https://static.grainger.com/rp/s/is/image/Grainger/42EP31_AS01,REGULAR,59.11,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP31,"White, 7-1/2 in, 11-1/2 in, 90, 1, Scott® Control™ Slimfold, KIMBERLY-CLARK PROFESSIONAL",pkg. of 24,gcom
5699880,833DD8,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 7 7/8 in Sheet Wd, 8 7/8 in Sheet Lg, 270 Sheets, 1 Ply, 12 PK",$88.82,https://static.grainger.com/rp/s/is/image/Grainger/833DD8-01__5FTP_v2,REGULAR,88.82,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-833DD8,"White, 7-7/8 in, 8-7/8 in, 270, 1, H5 PeakServe®, TORK",pkg. of 12,gcom
5699879,833DD7,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 7 7/8 in Sheet Wd, 8 7/8 in Sheet Lg, 410 Sheets, 1 Ply, 12 PK",$112.20,https://static.grainger.com/rp/s/is/image/Grainger/833DD7-01__GLW0_v2,REGULAR,112.2,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-833DD7,"White, 7-7/8 in, 8-7/8 in, 410, 1, H5 PeakServe®, TORK",pkg. of 12,gcom
4610923,42EP44,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"KIMBERLY-CLARK PROFESSIONAL Paper Towel Sheets: White, 8 in Sheet Wd, 9 2/5 in Sheet Lg, 16 PK",$84.99,https://static.grainger.com/rp/s/is/image/Grainger/42EP29_AS01,REGULAR,84.99,Sellable,https://www.grainger.com/product/KIMBERLY-CLARK-PROFESSIONAL-Paper-Towel-Sheets-White-42EP44,"White, 8 in, 9-2/5 in, 250, 1, Scott, KIMBERLY-CLARK PROFESSIONAL",pkg. of 16,gcom
1047651,4NGV6,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 8 in Sheet Wd, 10 3/4 in Sheet Lg, 260 Sheets, 10 PK",$62.44,https://static.grainger.com/rp/s/is/image/Grainger/4NGV6_AS02,REGULAR,62.44,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-4NGV6,"White, 8 in, 10-3/4 in, 260, 1, Pacific Blue Ultra™, GEORGIA-PACIFIC",pkg. of 10,gcom
1050126,60FG16,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GRAINGER Paper Towel Sheets: White, 8 5/8 in Sheet Wd, 9 1/2 in Sheet Lg, 175 Sheets, 1 Ply, 16 PK",$54.85,https://static.grainger.com/rp/s/is/image/Grainger/38C404_AS01__SDFU_v2,REGULAR,54.85,Sellable,https://www.grainger.com/product/GRAINGER-Paper-Towel-Sheets-White-60FG16,"White, 8-5/8 in, 9-1/2 in, 175, 1, GRAINGER, GRAINGER",pkg. of 16,gcom
5701660,847ZL1,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, 16 PK",$70.84,https://static.grainger.com/rp/s/is/image/Grainger/847ZL1-03__BV9R_v2,REGULAR,70.84,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZL1,"White, 9 in, 9-1/2 in, 250, 1, H2 Tork Xpress, TORK",pkg. of 16,gcom
5701663,847ZL5,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 1/8 in Sheet Wd, 9 1/2 in Sheet Lg, 250 Sheets, 1 Ply, H2, 16 PK",$56.48,https://static.grainger.com/rp/s/is/image/Grainger/847ZL5-01__FUAL_v2,REGULAR,56.48,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-847ZL5,"White, 9-1/8 in, 9-1/2 in, 250, 1, H2, TORK",pkg. of 16,gcom
5699881,833DD9,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"TORK Paper Towel Sheets: White, 9 1/8 in Sheet Wd, 12 3/4 in Sheet Lg, 94 Sheets, 2 Ply, 16 PK",$82.08,https://static.grainger.com/rp/s/is/image/Grainger/833DD9-01__56JL_v1,REGULAR,82.08,Sellable,https://www.grainger.com/product/TORK-Paper-Towel-Sheets-White-833DD9,"White, 9-1/8 in, 12-3/4 in, 94, 2, H2 Tork Xpress, TORK",pkg. of 16,gcom
1037010,3JG98,Cleaning and Janitorial / Paper Products & Dispensers / Paper Towels & Dispensers / Paper Towels,"GEORGIA-PACIFIC Paper Towel Sheets: White, 9 1/4 in Sheet Wd, 9 1/2 in Sheet Lg, 125 Sheets, 16 PK",$59.95,https://static.grainger.com/rp/s/is/image/Grainger/3JG98_AW01,REGULAR,59.95,Sellable,https://www.grainger.com/product/GEORGIA-PACIFIC-Paper-Towel-Sheets-White-3JG98,"White, 9-1/4 in, 9-1/2 in, 125, 2, Pacific Blue Select™, GEORGIA-PACIFIC",pkg. of 16,gcom
